term,gloss,is_phrase,repaired,original_key
მადლი მისცა ღმერთსა,ღმერთს მადლობა შესწირა,True,False,
ყოველივე მომიძღუანა,ყველაფერი გამატანა,True,False,
აღიხილა,გასინჯა,False,False,
იპოვა ყოველი გებულად,ყველაფერი უკლებლივ აღმოჩნდა,True,False,
რომელმან ესე შეიმკოს,ვინც ამას შეიმკობს,True,False,
იძია,მოძებნა,False,False,
მუნ დაეყუდა,იქ გაჩერდა,True,False,
დაყო,ამოქოლა,False,False,
საკუთარი,მახლობელი,False,False,
აღვსება,აღდგომა,False,False,
ეშმაკი თხრიდა გულსა მისსა,ეშმაკი აღაგზნებდა (აღაშფოთებდა),True,False,
მივიდა ეკლესიად,მივიდა ეკლესიაში,True,False,
ეტყოდა,ეუბნებოდა,False,False,
გამომეც,მომეცი,False,False,
რაჲსა ეგრე იქმ,რატომ აკეთებ მაგას?,True,False,
ბოროტი,ცუდი,False,False,
რისხვით ეტყჳ,მრისხანედ ელაპარაკები,True,False,
უხეთქნა,"დასცხო, დაარტყა",False,False,
იკადრა სიტყუად,გაბედა ლაპარაკი,True,False,
ეკლესიით ვიდრე ტაძრადმდე,ეკლესიიდან სასახლემდე,True,False,
კუბასტი,სამოსელი,False,False,
წულილ-წულილად,წვრილ–წვრილად,True,True,წულილ
მოიყვანეს იგი ტაძრად,მოიყვანეს სასახლეში,True,False,
იტყოდა,ამბობდა,False,False,
აჰა ეგერა,აი,True,False,
გერგო,გამოგადგა,False,False,
ვითარცა სცეს,როცა დაარტყეს,True,False,
არარაჲ აღმოჴდა პირსა მისსა,პირიდან არაფერი ამოსცდენია,True,False,
მაშინღა,"მაშინ უკვე, მხოლოდ მაშინ",False,False,
ურჩულო,უშჯულო,False,False,
უბადოო,უბედურო’ შენ მემცა შემიწყალეა?! - შენ შემიცოდებ?!,False,False,
ამოსდიოდა,ჩამოსდიოდა,False,False,
უბრძანა დადებად,"უბრძანა, დაედოთ",True,False,
სენაკაპანი,ციხის მცველი,False,False,
ტაძრით,ეკლესიიდან,False,False,
უნდა,უნდოდა,False,False,
რაჲთამცა ჰრქუა,რომ ეთქვა,True,False,
თუალი ჰკიდა,თვალი მოჰკრა,True,False,
სხუაჲ ვერღარაჲ სცალდა სიტყუად,მეტის თქმა ვეღარ დასცალდა,True,False,
ესთენ ოდენ,მხოლოდ ესღა,True,False,
დადუმნა,გაჩუმდა,False,False,
სივლტოლად იწყო სწრაფით,სწრაფად გაიქცა,True,False,
თმაგარდატევებული,თმებჩამოშლილი,False,False,
შეურაცხთაგანი,"მდაბიო, უბრალო",False,False,
იკადრა,გაბედა,False,False,
დაბურვა,დახურვა,False,False,
მჴედრ შეუდგა უკუანა,ამხედრებული მისდევდა,True,False,
იჴაჴდეს,იკაწრავდნენ,False,False,
საწყალობელად,შესაბრალისად,False,False,
დასთხევდეს ცრემლთა,ცრემლს ღვრიდნენ,True,False,
შუშანიკისთჳს,შუშანიკის გამო,False,False,
უკმოჰხედნა,მოხედა,False,False,
ჯმნულმცა ვარ მე თქუენგან ამიერითგან,ამიერიდან გშორდებით,True,False,
მიხილოთ,მნახავთ,False,False,
ციხით,ციხიდან,False,False,
მჴედრ მიმოდასდევნინ,ამხედრებული დასდევდა,True,False,
მეოტ-ჰყოფნ,"დევნიდა, არბევდა",True,True,მეოტ
მიიწინეს,მიაღწიეს,False,False,
გამოსლვად ხარ,გამოხვალ,True,False,
შენდა ეგდენ ყოფად არს ფერჴითა შენითა სლვაჲ,ფეხით სავალი ეგღა დაგრჩა,True,False,
გარნა თუ ოთხთა გამოგიღონ,არამედ ოთხი გამოგიტანს (მკვდარს),True,False,
ვიტანჯო,დავიტანჯები,False,False,
მუნ განვისუენო,იქ ვიშვები,True,False,
"ჰე, ჰე","დიახ, დიახ",True,False,
ეტყოდა,ეუბნებოდა,False,False,
გეტყჳ,გეუბნები,False,False,
იხილენით თავნი თქუენნი,მიჰხედეთ თქვენს თავს,True,False,
უბრალომცა ვარ,უდანაშაულო ვიქნები,True,False,
რაჲ გიყო,რასაც გიზამთ,True,False,
მოუწოდა,დაუძახა,False,False,
აქამომდე ცოცხალღა არსა,აქამდე ცოცხალია,True,False,
უფალო,ბატონო,False,False,
სიკუდილდ კერძო,სიკვდილისაკენ,True,False,
საგონებელ არს,საფიქრებელია,True,False,
ნურა რაჲ გგლიან,ნურა გენაღვლება,True,False,
უტე,"გაუშვი, დაე",False,False,
ჭურჭერი,ნივთი,False,False,
ძნიად თავს იდვა შეტევებაჲ ჩემი,ძლივს გადაწყვიტა ჩემი შეშვება,True,False,
რაჟამს,როცა,False,False,
დაღამდეს,დაღამდება,False,False,
მოვედ,მოდი,False,False,
ტარიგი,კრავი,False,False,
სძალი,რძალი (იგულისხმება: ქრისტეს მოწამე),False,False,
საკრველი,ბორკილი,False,False,
ვერ დამითმო გულმან,გულმა ვერ გამიძლო,True,False,
ვტიროდე ფრიად,ვტიროდი ძლიერ (მწარედ),True,False,
კეთილისა ამისთჳს,ამ სიკეთის გამო,True,False,
"სტირა, ხუცეს?","სტირი, მღვდელო?",True,False,
ესეღა თუმცა მეცნა,ეს რომ მცოდნოდა,True,False,
არამცა შემოგიტევე,არ შემოგიშვებდი,True,False,
ვიწყე სიტყუად,დავიწყე ლაპარაკი,True,False,
ვიჯმენ მისგან,მოვშორდი მას,True,False,
წარვედ სწრაფით ვანად ჩემდა,სწრაფად წავედი შემს სახლში,True,False,
ჩორდ წარემართა,წავიდა ჩორში,True,False,
არა დახუდა,"არ იყო, არ დასწრებია, არ შესწრებია",True,False,
მიეწია,დაეწია,False,False,
რაჲთამცა ბრძანა,რომ ებრძანებინა,True,False,
საკრველთა მათგან განტევებაჲ,ბორკილთაგან გათავისუფლება,True,False,
ფრიად აწყინა,აქ: ბევრს ეხვეწა,True,False,
ოდენ,მხოლოდ,False,False,
აღჰჴადა,"ახსნა, შეხსნა",False,False,
არა თავს,"იდვა - არ მოისურვა, არ ინება",True,False,
ვიდრე აღსასრულამდე,სიკვდილამდე,True,False,
ზედგომა,დგომა (მღვიძარება),False,False,
უწყინოდ,დაუსრულებლად,False,False,
სულიერითა მით ქნარითა,გალობით (აქ: ლოცვით),True,False,
მოვიდოდეს,მოდიოდნენ,False,False,
აღნათქუემი,დანაპირები (აქ: შესაწირავი),False,False,
რაჲ ვის უჴმდა,ვისაც რა სჭირდებოდა,True,False,
განბორების სალმობა,კეთრი,True,False,
რაჲთამცა დაუტევა მოგობაჲ,რომ უარეყო ცეცხლთაყვანისმცემლობა,True,False,
თავს–იდვა ადრე,"ადრე - მალე, სწრაფად დათანხმდა",True,False,
მივედ იერუსალჱმდ,წადი იერუსალიმში,True,False,
განსწმიდნე,"განიკურნები, განიწმინდები",False,False,
გულსმოდგინედ შეიწყნარა,გულით ირწმუნა,True,False,
წარემართა გზასა მას,წავიდა,True,False,
სალმობა,"სნეულება, ტკივილი",False,False,
ვითარ გარემოიქცა,როცა მობრუნდა,True,False,
მოიწია მუნვე,მოვიდა იქვე,True,False,
მოვიდა იგი წმიდისა შუშანიკისა,მოვიდა წმინდა შუშანიკთან,True,False,
მადლისა გარდაჴდად,მადლობის გადასახდელად,True,False,
წარვიდა სახიდ თჳსა,წავიდა თავის სახლში,True,False,
განმრთელებული,განკურნებული,False,False,
დიდი გულსმოდგინება,"დიდი სიბეჯითე, მონდომება",True,False,
ჴელთა აღიხუნა,აიღო,True,False,
დავითნი,"ფსალმუნთა წიგნი, რომელიც ებრაელთა მეფეს დავითს (X-XI სს. ჩვ. წ.–მდე) მიეწერება",False,False,
ასერგასისი,ასორმოცდაათი,False,False,
ფსალმუნი,საგალობელი,False,False,
ზესკნელისა მის მეუფისა,ღმერთის (იესო ქრისტე),True,False,
სათნო,მოსაწონი,False,False,
შვილნი იგი შენნი მიაქცინა მოგობასა,შენს შვილებს ცეცხლთაყვანისმცემლობა მიაღებინა,True,False,
თავსა თჳსსა ქუე დამართ სცემდა,თავს მიწას ურტყამდა,True,False,
სულთ-ითქუნა,ამოიოხრა,True,True,სულთ
იყავნ ნებაჲ შენი,შენი ნება იყოს,True,False,
დამიცევ საქმეთაგან მტერისათა,დამიცავი ეშმაკის საქმეებისაგან,True,False,
დაბუშებული,დასივებული,False,False,
მოეძღუანა,გამოეგზავნა,False,False,
საზრდელი,საჭმელი,False,False,
მოვიდიან,მოდიოდნენ,False,False,
ხილვად დედისა თჳსისა,თავისი დედის სანახავად,True,False,
რაჟამს მიაქცინეს,აქ: როცა ქრისტიანობა ურყვეს,True,False,
ვერღარა იკადრეს,ვერ გაბედეს,True,False,
ხილვად მისა,მისი ნახვა,True,False,
მოვედ ტაძრად,მოდი სასახლეში,True,False,
ჩორდ წარგცე შენ ანუ კარად,"ჩორში გაგგზავნი, ყარსში (?), ან ქტეზიფონში (სპარსეთის სამეფო კარზე)",True,False,
კარაული,სახედარი,False,False,
მიჰრქუა ესრეთ,ასე შეუთვალა,True,False,
უბადო,უბედური,False,False,
უგულისჴმო,უგუნური,False,False,
თუ მუნ კეთილსა რასმე შევემთხჳო,"ეგებ იქ კარგ რასმე შევხვდე, ბედს ვეწიო",True,False,
ბოროტსა ამას განვერე,ამ ბოროტებას (უბედურებას) გადავურჩე,True,False,
გულსა ეტყოდა,ფიქრობდა,True,False,
ვითარ-იგი,როგორც,True,True,ვითარ
ვითარმედ,რომ,False,False,
ნუუკუე,"რომ, ეგებ",False,False,
მთავართაგანსა ვისმე ეცოლოს,ვინმე მთავარს მისთხოვდეს,True,False,
მიერითგან,იმ დროიდან,False,False,
არღარავინ მიავლინა მისა,აღარავინ გაუგზავნა მას,True,False,
გუემა,ცემა,False,False,
იტყოდა,ამბობდა,False,False,
რაჲთამცა სათნო,ეყო ღმერთსა - ღმერთის მოსაწონი ყოფილიყო,True,False,
საკუთარი,მახლობელი,False,False,
ჩამოვედ ტაძრად,ჩამოდი სასახლეში,True,False,
მარქუ,მითხარი,False,False,
ცოცხალითა ფერჴითა არა გამოხვიდე შენ მაგიერ ციხით,ცოცხალი ვერ გამოხვალ მაგ ციხიდან,True,False,
შემძლებელ ხარ,შეგიძლია,True,False,
აღდგინება,აყენება,False,False,
აღადგინე,ააყენე (გააცოცხლე),False,False,
რომელი ურდს დამარხულ არს,რომელიც ურდშია დამარხული,True,False,
გარნა თუ მისა ვერ შემძლებელ ხარ აღდგინებად,მაგრამ თუ მისი აყენება (გაცოცხლება) ვერ შეგიძლია,True,False,
